 TITLE = "Conforming" 
 VARIABLES = "Grid", "L1 error", "L2 error", "Linf error", "CPU_time" 
 ZONE T="P1", I=19, F=POINT 
 002    0.12679967957104257        0.19069750959254450        0.43906370411056717               0.2149 
 003    5.99824806763875965E-002    0.10069804887598253        0.30623170983578385               0.2588 
 004    4.59197380064257782E-002    7.97951262461071287E-002    0.28328240129130222               0.2126 
 005    3.37442952507463340E-002    6.09752783065496407E-002    0.25065820540825090               0.2764 
 006    2.27099336825006028E-002    4.06106628650280826E-002    0.16934400089103407               0.2673 
 008    1.38123397400516310E-002    2.65360232852357991E-002    0.12307843542839247               0.2829 
 010    9.36297330747573077E-003    1.83034383819124756E-002    9.54805757941201705E-002           0.2869 
 012    6.85372533654257481E-003    1.32167411275210863E-002    6.50135522524353249E-002           0.3322 
 016    4.09758696936634963E-003    7.82141990564689561E-003    4.35274940649472697E-002           0.2496 
 020    2.70320515512916231E-003    5.16993293297137758E-003    2.75231459238316489E-002           0.3328 
 024    1.90845999030463554E-003    3.67120820394832440E-003    2.08569651634196163E-002           0.3415 
 032    1.11512450196881840E-003    2.12432125917610092E-003    1.18025034595934386E-002           0.3327 
 040    7.29183136501452720E-004    1.38229172225270720E-003    7.77737828002322829E-003           0.4847 
 048    5.15684019602518262E-004    9.70398458358364422E-004    5.42820785127062777E-003           0.5833 
 064    2.97156787165181045E-004    5.53831774559444974E-004    3.03217994568338867E-003           0.9905 
 080    1.93811232089888193E-004    3.58189949009917656E-004    1.93052571365193160E-003           1.6026 
 096    1.36775530891988686E-004    2.50843652657014205E-004    1.34095676761436522E-003           2.4722 
 128    7.87117949690621627E-005    1.42942433481916474E-004    7.50110287671468257E-004           5.0743 
 160    5.11918480693946697E-005    9.23704335985450336E-005    4.79772651434728914E-004           9.1638 
 
 ZONE T="P2", I=19, F=POINT 
 002    3.08902618113040608E-002    5.27971980382208605E-002    0.21915417268741733               1.0585 
 003    2.21733651627255453E-002    3.67622833771700311E-002    0.13292687364854139               1.5477 
 004    1.13769918920597988E-002    2.50054076993966104E-002    0.16588229816478073               1.0864 
 005    5.26825909241766289E-003    1.00806379398999842E-002    4.71272308017347541E-002           1.5250 
 006    4.47743984699860900E-003    1.10953957877056673E-002    8.23942866830931209E-002           1.5614 
 008    1.70824503485264090E-003    4.32552444566852972E-003    3.69851632183557655E-002           1.1439 
 010    8.29022074838134718E-004    2.06465765430804233E-003    1.73436752254545468E-002           1.5763 
 012    5.01219074104531769E-004    1.21060201048032220E-003    9.19178713451351825E-003           1.6329 
 016    1.98256465740566509E-004    5.02977335502612609E-004    5.40395884517064218E-003           1.2795 
 020    9.66945411940625253E-005    2.51178162866750481E-004    2.58297180668964899E-003           1.4633 
 024    5.54684020314615255E-005    1.42775225643873419E-004    1.54675937738968372E-003           2.2614 
 032    2.31127575114515538E-005    5.89701401808207811E-005    6.33740843397845310E-004           2.4086 
 040    1.16312856202049259E-005    2.98820763980872477E-005    3.25181520544504110E-004           4.5897 
 048    6.68897006658670952E-006    1.71374058773631066E-005    1.90164998276287633E-004           6.9146 
 064    2.78440201889516929E-006    7.15981421231885701E-006    7.97075163756488791E-005          13.4009 
 080    1.40955631397261262E-006    3.63627472952667401E-006    4.05127479838895965E-005          24.6886 
 096    8.07521556577124893E-007    2.08685994183657689E-006    2.33650409935393100E-005          41.5885 
 128    3.37823264254221929E-007    8.69697201230474724E-007    9.74660626251733220E-006          94.2303 
 160    1.72595770605057239E-007    4.42824694378616923E-007    4.96265105809357010E-006         179.6950 
 
 ZONE T="P3", I=19, F=POINT 
 002    1.23077720939620012E-002    2.96341143507275785E-002    0.22660566466089804               6.8061 
 003    7.05477856990876454E-003    1.50076213826820688E-002    0.10510917401081254              10.1952 
 004    1.79458588054009832E-003    4.39083260054751612E-003    3.00208058988022941E-002           6.7536 
 005    9.98040976931468616E-004    2.52338327963450666E-003    2.22222817292605512E-002           9.6670 
 006    2.02850238659217739E-004    4.94078361219570323E-004    5.38671656869027515E-003           9.4676 
 008    1.16434575267934746E-004    3.18329202773187517E-004    3.22453383034115859E-003           7.0356 
 010    4.98240385474368178E-005    1.43422093033503193E-004    1.66107562785722251E-003           9.9778 
 012    2.28742662249047497E-005    6.23668631668902642E-005    8.70830445564685363E-004          10.4312 
 016    6.55085491016173030E-006    1.96708784994689878E-005    2.66998890314340542E-004           7.8817 
 020    2.73773189233575213E-006    8.00360541481703471E-006    1.06288030256251886E-004           9.1557 
 024    1.27556042520241951E-006    3.92050651445868836E-006    5.10238168685006599E-005          14.7417 
 032    4.07199432056850414E-007    1.25378561055579111E-006    1.76734973749148594E-005          15.8654 
 040    1.67330789343540265E-007    5.12513430618994925E-007    7.18860212778338337E-006          31.9921 
 048    8.08955155106373984E-008    2.47898283816886471E-007    3.38134146460333795E-006          44.7813 
 064    2.58660348849854189E-008    7.98335336328298545E-008    1.10543374454152854E-006          99.6350 
 080    1.06997443809530541E-008    3.31533936275506389E-008    4.61980150134877476E-007         188.4742 
 096    5.21498061765689841E-009    1.61487762615289061E-008    2.25075029725019249E-007         321.1151 
 128    1.67158353461787509E-009    5.17801296519006280E-009    7.25288140657198710E-008         773.0605 
 160    6.90198155871843409E-010    2.13875792414745134E-009    3.00080742476893647E-008        1438.7118 
 
 ZONE T="P4", I=18, F=POINT 
 002    5.56777120168852526E-003    1.17919603820691304E-002    7.61417023936408199E-002          31.7133 
 003    5.33926980107920601E-004    1.17241780511997897E-003    1.10771117175696432E-002          46.1519 
