 TITLE = "NonConforming"
 VARIABLES = "Grid", "L1 error", "L2 error", "Linf error", "CPU_time"
 ZONE T="P1", I=15, F=POINT
 002     5.9007599642917606E-004     9.9627005349831326E-004     5.1583132165226170E-003           0.1400 
 003     4.2682974201824366E-004     8.2989705797222762E-004     8.5719959273684032E-003           0.2422 
 004     3.5127838211475646E-004     7.2741190948573452E-004     8.4592031382405009E-003           0.2447 
 005     3.0087173716987134E-004     6.4655455329268134E-004     7.5993917190899651E-003           0.2608 
 006     2.6212182513855815E-004     5.7474734514202750E-004     7.0401488124568479E-003           0.6735 
 008     2.0369077070407654E-004     4.6027346032725453E-004     6.6404055129975492E-003           0.9302 
 010     1.6417974822403834E-004     3.7634912254255200E-004     5.8586841774155296E-003           1.3838 
 012     1.3580105000804069E-004     3.1339950237371165E-004     5.0587675816119448E-003           2.1012 
 016     9.7067470238179935E-005     2.2746631680870916E-004     4.3667714309923444E-003           4.6085 
 020     7.2372500150868113E-005     1.7347913833061710E-004     3.7101799554672688E-003           9.6132 
 024     5.5942661269717919E-005     1.3755708907794891E-004     3.2373676123558237E-003          14.1775 
 032     3.6389410062291394E-005     9.4237902315453054E-005     2.6216085988343962E-003          31.1496 
 040     2.5715796895066466E-005     6.9924402030271300E-005     2.3546111533788369E-003          57.1131 
 048     1.9250340590410228E-005     5.4752314385384554E-005     2.2223004627434928E-003          96.0231 
 064     1.2105896593706819E-005     3.7266819858351495E-005     2.0112209912704036E-003         221.3483 

 ZONE T="P2", I=15, F=POINT
 002     1.2712019994245473E-004     2.3473930166892915E-004     3.4356413685248666E-003           0.3002 
 003     7.2960826476765477E-005     1.5194916395530416E-004     2.4842004480485069E-003           0.5550 
 004     4.9917669881618922E-005     1.0239903092853443E-004     1.7274678879987126E-003           0.4439 
 005     3.3917099432138637E-005     7.2389731013111549E-005     1.4487205487707655E-003           0.5015 
 006     2.5361137529231466E-005     5.3590583537785557E-005     1.3092042639138435E-003           0.9779 
 008     1.4768289309122064E-005     3.1816483947151818E-005     8.6757155568917277E-004           1.8101 
 010     9.2317070159459941E-006     2.0252647054396664E-005     6.8892728793346070E-004           2.8738 
 012     6.1094459397975165E-006     1.3631986548876155E-005     5.7191733196143568E-004           4.2902 
 016     3.0539423743781077E-006     7.1241612183003410E-006     3.9585561214156018E-004          10.7738 
 020     1.7517249010529572E-006     4.3215100145006441E-006     2.7761645606172447E-004          20.2187 
 024     1.1131080859515068E-006     2.9015512663056971E-006     1.9914046842667288E-004          35.3859 
 032     5.5084624262771358E-007     1.5665850904945845E-006     1.2332414716986762E-004          67.0624 
 040     3.2143310679176858E-007     9.7245806303560696E-007     9.0635897884383532E-005         124.4913 
 048     2.0682018692760810E-007     6.5672688072364904E-007     6.9423286326086853E-005         253.9620 
 064     1.0209657108582787E-007     3.4991978905424772E-007     4.4051105743792007E-005         669.8909 

 ZONE T="P3", I=15, F=POINT
 002     3.1788019922884050E-005     5.4113371204861915E-005     6.8473693159243343E-004           0.6030 
 003     1.4064466472394528E-005     2.5644271825119455E-005     7.2873822415142619E-004           1.0861 
 004     7.1584206459032041E-006     1.4015749247353000E-005     5.8838465807303786E-004           0.9017 
 005     4.1582113167376965E-006     8.5855668079318785E-006     4.3627080763020132E-004           0.9612 
 006     2.5727909662584223E-006     5.5263308101696282E-006     2.8395539401376846E-004           1.8057 
 008     1.1086128034917323E-006     2.5306197087104572E-006     1.4065736385227012E-004           3.9448 
 010     5.3943053133304084E-007     1.2805973083485528E-006     7.7597619939528961E-005           6.0371 
 012     2.8790872665448661E-007     7.0385663277295268E-007     4.7875450236212203E-005           8.7940 
 016     1.0057955350664880E-007     2.6692918956686382E-007     2.1732315265587943E-005          21.9398 
 020     4.4348838527057930E-008     1.2899556005266755E-007     1.1849090887749991E-005          44.3706 
 024     2.3370388794297968E-008     7.2253935061470765E-008     7.4284888724185372E-006          79.9802 
 032     8.8291017069023972E-009     2.8899682425775330E-008     3.5125091422116839E-006         202.8848 
 040     4.1623038085923936E-009     1.4145130223438812E-008     2.0012356172771639E-006         332.4433 
 048     2.2293658837320218E-009     7.8495338436153786E-009     1.2337078451607475E-006         614.1874 
 064     8.1903130169006815E-010     3.0687389424841526E-009     5.3844541414438396E-007        1630.6439 

 ZONE T="P4", I=15, F=POINT
 002     7.5253599642139478E-006     1.2207242337138439E-005     2.7338753255452819E-004           1.3041 
 003     2.0278543968315359E-006     4.0125979527718703E-006     2.5753276746978693E-004           2.7883 
 004     8.2122265955393964E-007     1.7375129626275069E-006     8.8899759789651256E-005           1.7411 
 005     3.5551091489161760E-007     7.9620156267306439E-007     4.3599859308962596E-005           2.2219 
 006     1.7438980884161925E-007     3.9782296109321210E-007     2.3711984647789563E-005           4.6305 
 008     5.3257784682269875E-008     1.2694796331830570E-007     9.6772883142470789E-006           9.3111 
 010     2.0630088205462746E-008     5.1537825084332687E-008     4.8509058730439314E-006          12.3975 
 012     9.3224604542959520E-009     2.4511279986073213E-008     2.7505591051468770E-006          19.3382 
 016     2.5904288796575548E-009     7.5577635650097502E-009     1.0985535888741182E-006          46.9068 
 020     9.5970489753964062E-010     3.0438238081990803E-009     5.2121567228891053E-007          86.6120 
 024     4.2923461495905633E-010     1.4456305396482619E-009     2.7571622301936216E-007         151.1800 
 032     1.2130692987504485E-010     4.4116131042553283E-010     9.3717580584851135E-008         350.6313 
 040     4.5640240823514257E-011     1.7430531786412697E-010     3.7197152247259169E-008         839.1988 
 048     2.0190917015475147E-011     8.1007941849730183E-011     1.8479933472370647E-008        1450.2955 
