,,,,,,,
,,,,,,,
,,,,,,,
8,0.0000692,,,0.00104,,,
16,0.0000126,-2.4595238435,,0.000118,-3.127451067,,
32,0.00000154,-3.0288246198,,0.0000212,-2.4799436322,,
64,0.000000146,-3.3972403956,,0.00000346,-2.6195988284,,
,,Err:502,,,Err:502,,
,,#DIV/0!,,,#DIV/0!,,
8,0.0000692,#DIV/0!,,0.00103,#DIV/0!,,
16,0.0000126,-2.4592582901,,0.000118,-3.1341194321,,
32,0.00000154,-3.0307193421,,0.0000212,-2.4760827168,,
64,0.000000146,-3.3951492729,,0.00000346,-2.6148806698,,
,,Err:502,,,Err:502,,
,,#DIV/0!,,,#DIV/0!,,
8,0.0000584,#DIV/0!,,0.000769,#DIV/0!,,
16,0.0000103,-2.5088542686,,0.0000813,-3.241309211,,
32,0.00000138,-2.8966615482,,0.0000191,-2.0869109548,,
64,0.000000145,-3.2508551802,,0.00000304,-2.6552170457,,
,,Err:502,,,Err:502,,
8,0.0000637,#DIV/0!,,0.000782,#DIV/0!,,
16,0.0000108,-2.5580477517,,0.0000871,-3.1670878221,,
32,0.00000142,-2.9288035678,,0.0000204,-2.0969482021,,
64,0.000000144,-3.299041057,,0.00000318,-2.6776144544,,
,,Err:502,,,Err:502,,
Conventional,,#DIV/0!,,,#DIV/0!,,
04x04x2,0.00839,#DIV/0!,,0.1595035026,#DIV/0!,,21.2916
08x08x2,0.00131,-2.6843094604,,0.0178,-3.1644695482,,66.2145
16x16x2,0.0000925,-3.8195558025,,0.00196,-3.1787204877,,222.6425
32x32x2,0.00000511,-4.1771898361,,0.000127,-3.9464899991,,709.6716
64x64x2,3.73E-007,Err:502,,1.09E-005,Err:502,,
,,#DIV/0!,,,#DIV/0!,,
,,#DIV/0!,,,#DIV/0!,,
04x04x2,0.00908,#DIV/0!,,0.1789188335,#DIV/0!,,28.1477
08x08x2,0.00115,-2.9758502252,,0.00884,-4.3389729117,,94.7074
16x16x2,0.0000792,-3.8649720185,,0.00145,-2.6120538973,,304.4529
32x32x2,0.00000432,-4.1953930238,,0.000107,-3.7564287003,,1178.3288
64x64x2,,,,,,,
