;;;;;;;;;
016x04 ;; 7.0948364399237704E-003 ;;    1.0368441812363011E-002 ;;    3.8161650024679972E-002 ;;          0.6442 ;
032x08 ;; 2.4355628831946451E-003 ;;    3.5080897549293628E-003 ;;    1.3371040537970558E-002 ;;          3.4432 ;
064x16 ;; 7.1625701065673503E-004 ;;    1.0343117649412397E-003 ;;    4.0254869089804135E-003 ;;         14.8163 ;
128x32 ;; 1.8473391025669838E-004 ;;    2.6766797223721865E-004 ;;    1.1138290460062095E-003 ;;         98.2214 ;
256x64 ;; 4.6737419886511326E-005 ;;    6.8050817189740993E-005 ;;    2.8019850237903654E-004 ;;        753.5941 ;
016x04 ;; 1.8072097337602048E-004 ;;    3.5448450555296615E-004 ;;    2.5199440871079837E-003 ;;          2.6163 ;
032x08 ;; 2.0045343057768799E-005 ;;    4.1125475159239032E-005 ;;    3.1203858970529907E-004 ;;         12.4849 ;
064x16 ;; 2.9340878740109799E-006 ;;    6.2390314312853757E-006 ;;    5.0783349775151976E-005 ;;         77.1412 ;
128x32 ;; 3.0023831205946019E-007 ;;    6.4678668096576607E-007 ;;    5.4476909179257405E-006 ;;        536.9029 ;
256x64 ;; 3.7297006946441159E-008 ;;    8.1200369502126426E-008 ;;    6.9213527753575477E-007 ;;       4169.9465 ;
016x04 ;; 6.3264294042311608E-006 ;;    1.0363530973959215E-005 ;;    5.2177463061742202E-005 ;;          6.2107 ;
032x08 ;; 3.6658406549276689E-007 ;;    6.5308613997105313E-007 ;;    4.3371793889690480E-006 ;;         40.7358 ;
064x16 ;; 2.5780004709906745E-008 ;;    4.3800696046917008E-008 ;;    2.4614272176037844E-007 ;;        269.8478 ;
128x32 ;; 1.4081002963927105E-009 ;;    2.4272810866248376E-009 ;;    1.4990845009776876E-008 ;;       2031.9976 ;
256x64 ;; 8.7665873327645435E-011 ;;    1.5155511484161644E-010 ;;    9.5113783515898831E-010 ;;      15670.8892 ;

