,,,,,,,,,,,,
Poly: P3,L2,,Linf,,time,,,,,,,
Fixed Timestp,SSWENO:Roe,#VALUE!,Roe,#VALUE!,,,Fixed Timestp,SSWENO:RoeLF,,RoeLF,,
Poly: P3,L2,#VALUE!,Linf,#VALUE!,time,,Poly: P3,L2,,Linf,,time
PeriodicBCs,Membrne=0.5,#VALUE!,,#VALUE!,,,PeriodicBCs,Membrne=0.5,,,,
002x1x1,2.68E-002,#VALUE!,0.2102848876,#DIV/0!,7.6202,,002x1x1,2.39E-001,,1.05E+000,,408.5608
004x1x1,4.41E-003,-2.6030811587,3.13E-002,-2.7463320879,8.5481,,004x1x1,5.26E-003,,3.98E-002,,405.8579
008x1x1,2.58E-004,-4.0940339278,3.14E-003,-3.3190161979,9.3472,,008x1x1,2.62E-004,,3.27E-003,,431.5052
016x1x1,1.67E-005,-3.9492544745,2.33E-004,-3.7505961048,22.9073,,016x1x1,1.65E-005,,2.25E-004,,810.271
032x1x1,9.23E-007,-4.1794978414,1.23E-005,-4.245890709,74.5935,,032x1x1,9.28E-007,,1.23E-005,,1569.7142
064x1x1,5.90E-008,-3.9670839679,7.05E-007,-4.1245928946,430.6269,,064x1x1,5.90E-008,,7.05E-007,,3072.4533
128x1x1,4.42E-009,-3.7389576361,4.21E-008,-4.067052311,2952.9033,,128x1x1,4.42E-009,,4.21E-008,,6056.0847
256x1x1,,Err:502,,Err:502,,,256x1x1,,,,,
512x1x1,,#DIV/0!,,#DIV/0!,,,512x1x1,,,,,
,,#DIV/0!,,#DIV/0!,,,,,,,,
,,#DIV/0!,,#DIV/0!,,,,,,,,
,,#DIV/0!,,#DIV/0!,,,,,,,,
