;;;;;;;;
"DeltaF=0" ;;;;;;;;
;;;;;;;;
"P=01";;;;;;;;
 002x002x2 ;;   1.6388405992556102E-002 ;;   1.4237537283978074E-002 ;;           1.4907
 004x004x2 ;;   1.0789010989928837E-002 ;;   1.4208868545694120E-002 ;;           5.5455
 008x008x2 ;;   5.0600080480486514E-003 ;;   8.6854233424919158E-002 ;;          25.4798
 016x016x2 ;;   2.5023916525929607E-003 ;;   6.4023470494486645E-002 ;;         178.6833
 032x032x2 ;;   1.2948956220208839E-003 ;;   3.7646561396594613E-002 ;;        2019.2252
 064x064x2 ;;   
"P=02";;;;;;;;
 002x002x2 ;;   3.2734745553806384E-003 ;;   7.7870423522729659E-002 ;;           3.7812
 004x004x2 ;;   1.6201050752444809E-003 ;;   4.8753441879050285E-002 ;;          17.7694
 008x008x2 ;;   3.1244062471888257E-004 ;;   1.6730262035761001E-002 ;;         135.0602
 016x016x2 ;;   6.0113922043419208E-005 ;;   1.9412735204960008E-003 ;;        1524.5075
 032x032x2 ;;   1.3393106940718881E-005 ;;   5.5661559546216210E-004 ;;       14373.9422
 064x064x2 ;;   
"P=03";;;;;;;;
 002x002x2 ;;   4.2428734106363586E-004 ;;   1.1311484058664334E-002 ;;           8.2495
 004x004x2 ;;   1.8838455852770650E-004 ;;   8.1787369755081940E-003 ;;          67.6884
 008x008x2 ;;   1.7683384599802289E-005 ;;   8.4469744434301219E-004 ;;         662.1977
 016x016x2 ;;   1.2681945528668835E-006 ;;   1.5982600491160071E-004 ;;        7502.6268
 032x032x2 ;;   1.6079060132407280E-007 ;;   1.7934317834367164E-005 ;;       97952.0913
"P=04";;;;;;;;
 002x002x2 ;;   1.0599519165539104E-004 ;;   6.3638828266290304E-003 ;;          22.1476
 004x004x2 ;;   3.2881581434312608E-005 ;;   1.8416927453888121E-003 ;;         266.3759
 008x008x2 ;;   1.1960814267819406E-006 ;;   1.3162658922105663E-004 ;;        2404.8746
