;;;; ;;;; ;;
P1
64 ; 256x64 ;   1.2789334415623943E-010 ;;    5.7438170918267308E-010 ;;    1.5491298022141109E-008 ;;      15366.0455 ; ;
96 ; 384x96 ;   2.5631883282028255E-011 ;;    1.3850068584954656E-010 ;;    4.6164378986190968E-009 ;; ;    20623.3345 ;

P4 ;
03 ; 012x03 ;   4.3197745742481897E-007 ;;    7.4562083997802903E-007 ;;    6.3739569391429995E-006 ;; ;        7.3497 ;
04 ; 016x04 ;   1.2184583347767951E-007 ;;    2.5197419164758597E-007 ;;    2.4599129659907959E-006 ;;         15.9137 ; ;
06 ; 024x06 ;   2.1471356000634132E-008 ;;    5.2057115593580315E-008 ;;    4.9710944072245411E-007 ;; ;       29.4531 ;
08 ; 032x08 ;   5.7919544579645303E-009 ;;    1.3934335565547476E-008 ;;    1.4434372075378121E-007 ;;        111.6519 ; ;
12 ; 048x12 ;   8.9683414262653794E-010 ;;    2.2140064939106289E-009 ;;    2.3095127366090651E-008 ;; ;      162.3872 ;
16 ; 064x16 ;   2.3217110100176468E-010 ;;    5.7676429671518763E-010 ;;    6.0290521464168023E-009 ;;        833.4323 ; ;
24 ; 096x24 ;   3.3296903292161840E-011 ;;    8.3226331923977302E-011 ;;    8.7596796483069284E-010 ;; ;     1439.6916 ;
32 ; 128x32 ;   8.2217034745442142E-012 ;;    2.0668413634742746E-011 ;;    2.2184365455757415E-010 ;;       5744.0200 ; ;
48 ; 192x48 ;   1.3322033122715338E-012 ;;    2.9378249042538745E-012 ;;    6.4834360102850042E-011 ;; ;     7697.4755 ;
64 ; 256x64 ;   7.8935922521282951E-013 ;;    1.3107601994039211E-012 ;;    7.9145578979478159E-011 ;;      43995.6314 ; ;
96 ; 384x96


