;;;; ;;;; ;;
P1
03 ; 012x03 ;   2.8058852125787254E-002 ;;    4.9387225474496657E-002 ;;    0.27662170961291555     ;;  ;        0.5622 ;
04 ; 016x04 ;   1.9107920291716804E-002 ;;    3.5958860267201867E-002 ;;    0.23550405209035130     ;;           0.7062 ; ;
06 ; 024x06 ;   1.0785472360803496E-002 ;;    2.2497243497306491E-002 ;;    0.17287964186538396     ;;  ;        1.3418 ;
08 ; 032x08 ;   6.9527714107274390E-003 ;;    1.5935925212295757E-002 ;;    0.13789447677385436     ;;           3.3225 ; ;
12 ; 048x12 ;   3.6678249225563981E-003 ;;    9.5959388234147357E-003 ;;    0.10405745527001464     ;;  ;        5.1157 ;
16 ; 064x16 ;   2.2777183573067894E-003 ;;    6.5631075527918959E-003 ;;    8.4821477280634383E-002 ;;          17.4136 ; ;
24 ; 096x24 ;   1.1241142863324411E-003 ;;    3.7293865330381452E-003 ;;    6.1606277613473814E-002 ;; ;        29.9817 ;
32 ; 128x32 ;   6.6097377730501205E-004 ;;    2.4567106281398634E-003 ;;    4.7705170232261729E-002 ;;         105.4770 ; ;
48 ; 192x48 ;   3.0675662550114788E-004 ;;    1.3478928848475330E-003 ;;    3.2019483833227724E-002 ;; ;       209.9611 ;
64 ; 256x64 ;   1.7653524542781933E-004 ;;    8.7740603296866605E-004 ;;    2.3868573387786363E-002 ;;         733.3009 ; ;
96 ; 384x96 ;   8.0388380161336767E-005 ;;    4.7835984721841151E-004 ;;    1.5864852791493078E-002 ;; ;      1460.1152 ;

P2 ;
03 ; 012x03 ;   4.1041395068762795E-004 ;;    8.0016659924342598E-004 ;;    4.3568703055210101E-003 ;; ;         1.3000 ;
04 ; 016x04 ;   1.9146971366033015E-004 ;;    3.9357960312801869E-004 ;;    2.5724875633976740E-003 ;;           2.4948 ; ;
06 ; 024x06 ;   5.9850569716702598E-005 ;;    1.2937606357711531E-004 ;;    9.0469364246881234E-004 ;; ;         4.2017 ;
