 TITLE = "NonConforming"
 VARIABLES = "Grid", "L1 error", "L2 error", "Linf error", "CPU_time"
 ZONE T="P1", I=15, F=POINT
 002      6.2425032793594210E-004       1.0849271549470132E-003       1.3040422356777936E-002             0.1475  
 003      4.3126535632280482E-004       8.3960942435697182E-004       8.5763982489387991E-003             0.2382  
 004      3.5100129029089032E-004       7.2907510406222849E-004       8.4609455404927592E-003             0.2529  
 005      3.0038195435746703E-004       6.4687211447613977E-004       7.5995798074721677E-003             0.5466  
 006      2.6176392621305269E-004       5.7477138460208224E-004       7.0432695320213623E-003             0.4653  
 008      2.0359503816573239E-004       4.6019240508151916E-004       6.6394367345380956E-003             1.0916  
 010      1.6408853587859470E-004       3.7625704011852662E-004       5.8565754825524174E-003             1.3974  
 012      1.3572493543390386E-004       3.1331037198039323E-004       5.0564536331094700E-003             2.4100  
 016      9.7021855824640382E-005       2.2739357268056743E-004       4.3638936203058143E-003             4.4191  
 020      7.2349999808667614E-005       1.7342406762325209E-004       3.7083510040795686E-003             8.6247  
 024      5.5930064064104338E-005       1.3751615842764163E-004       3.2358890970309862E-003            14.6335  
 032      3.6383604353809598E-005       9.4214502646895992E-005       2.6209948858490484E-003            34.9265  
 040      2.5712211009523108E-005       6.9909785215287212E-005       2.3536975211640720E-003            57.7658  
 048      1.9248031321724886E-005       5.4742409189899424E-005       2.2216698971136983E-003            98.5892  
 064      1.2105055152533951E-005       3.7261429625285212E-005       2.0108446274221640E-003           207.7319  

 ZONE T="P2", I=15, F=POINT
 002      2.0476766342704335E-004       3.1683296675631283E-004       2.5837903271570539E-003             0.2754  
 003      7.7209936091204482E-005       1.4952340067258377E-004       2.2038336222166000E-003             0.6025  
 004      4.5520346263782273E-005       9.1756654859692278E-005       1.6996336163456194E-003             0.4970  
 005      2.9014352007610832E-005       6.1868385647023319E-005       1.1773500909073586E-003             0.4613  
 006      2.0493850725600746E-005       4.4451282890912781E-005       1.0316202699797716E-003             0.8439  
 008      1.1330091339200563E-005       2.5721755707013270E-005       6.9307255839984316E-004             1.8397  
 010      6.9838779734631125E-006       1.6384501093792709E-005       4.8788310024905357E-004             3.0207  
 012      4.6349663816007857E-006       1.1168858931018072E-005       3.7348727522845682E-004             4.5158  
 016      2.3638547940798617E-006       6.0307052656212856E-006       2.6119141044333993E-004            10.6129  
 020      1.3873834841895783E-006       3.7455000841455591E-006       1.9807680336836331E-004            20.5285  
 024      8.9821796412818105E-007       2.5429882426286394E-006       1.5539244859752444E-004            33.3417  
 032      4.5436110260300686E-007       1.3729740640238022E-006       1.0576852077848198E-004            70.5245  
 040      2.6766845127204491E-007       8.4152900552449390E-007       7.8428480571712811E-005           137.1707  
 048      1.7259761104759408E-007       5.5841831417076615E-007       6.1138290579298982E-005           236.9863  
 064      8.4587285724116347E-008       2.8568708227409919E-007       4.0440650735829031E-005           704.4918  

 ZONE T="P3", I=15, F=POINT
 002      5.2749583089167627E-005       8.1002956289183075E-005       1.1099933963664155E-003             0.5567  
 003      1.8987313778776016E-005       3.5622772141754607E-005       6.1250521242239842E-004             1.0803  
 004      9.4120321790981133E-006       1.8122149752743463E-005       2.9756468688518778E-004             0.9075  
 005      5.2163632517922006E-006       1.0388567809628376E-005       1.9484619538462367E-004             0.9574  
 006      3.0877247713321554E-006       6.3717564097701667E-006       1.1742669625625091E-004             1.9407  
 008      1.2564517696289609E-006       2.7282809909925825E-006       6.1764209048853491E-005             3.9764  
 010      5.8819205360660679E-007       1.3114883855570433E-006       2.7634002190607410E-005             6.1284  
 012      3.0417740172019459E-007       6.8736841824747960E-007       1.5286403211134392E-005             8.8983  
 016      9.9971247350809996E-008       2.3511539152878921E-007       7.3623583914939061E-006            21.7227  
 020      4.1535099475130231E-008       1.0350054518149454E-007       4.1417747203009725E-006            43.3769  
 024      2.0951613561784829E-008       5.4720866094404867E-008       2.5946007773391955E-006            79.2086  
 032      7.6042965644487385E-009       2.0702433460073788E-008       1.1927848626580584E-006           202.7862  
 040      3.5020076778695719E-009       9.7155046957543781E-009       6.5797364839914607E-007           361.0153  
 048      1.8254490458485156E-009       5.1800908718661951E-009       4.1106504322652171E-007           630.6027  
 064      6.4512301488156834E-010       1.8943972256143180E-009       1.8284403754953438E-007          1709.4834  

 ZONE T="P4", I=15, F=POINT
 002      1.4843892714402225E-005       2.4389273498008959E-005       5.6269955819632234E-004             1.2987  
 003      2.2879412888768443E-006       4.6421326383036647E-006       1.1120330085734320E-004             2.7772  
 004      7.6089036480227168E-007       1.5329126625424824E-006       3.4804600661519913E-005             1.6307  
 005      2.8635577213886887E-007       6.2490915870313403E-007       1.6195464253465630E-005             2.2023  
 006      1.3375204026980954E-007       2.9488891125896617E-007       9.8236366462001179E-006             4.2571  
 008      3.8463749204028296E-008       8.9655613504435071E-008       4.1906481768050341E-006             9.5827  
 010      1.4646226480578751E-008       3.5854177098972205E-008       2.0319035315130574E-006            13.5730  
 012      6.6249380739172192E-009       1.6966344377016378E-008       1.1193891594207805E-006            18.8783  
 016      1.8637247133677364E-009       5.1605929877692090E-009       3.9302443169408896E-007            43.3101  
 020      6.9069387313679388E-010       2.0276952916653191E-009       1.6915193812305773E-007            73.4467  
 024      3.0809627874735782E-010       9.3730648273265710E-010       9.2680849106407948E-008           132.0516  
 032      8.6767838898404825E-011       2.7126487666909120E-010       3.5054981695203935E-008           357.2490  
 040      3.2171967955278592E-011       1.0146853494501910E-010       1.5579625589623447E-008           810.5430  
 048      1.3999248129550763E-011       4.4716353705364738E-011       7.5561821244463090E-009          1531.4350  
