 01 ;  1.2736262404594603E-002 ;;  1.7412142157875128E-002 ;;  6.5846382350197505E-002 ;          1.1787 ;
 02 ;  5.4356548569454953E-003 ;;  7.7131315217693680E-003 ;;  2.8370453563800746E-002 ;          1.8393 ;
 03 ;  3.0029518949589752E-003 ;;  4.4621818680440932E-003 ;;  1.9376249480339877E-002 ;          2.2783 ;
 04 ;  1.9927048278463380E-003 ;;  3.0043900134466535E-003 ;;  1.4283557250312162E-002 ;          2.7326 ;
 06 ;  1.1345612339622110E-003 ;;  1.7726523974046875E-003 ;;  8.6612723326882080E-003 ;          6.2949 ;
 08 ;  7.5736715103810423E-004 ;;  1.2202700635865543E-003 ;;  6.2683275193919363E-003 ;         12.3883 ;
 12 ;  4.4128675747323121E-004 ;;  7.2922053010554490E-004 ;;  4.4603746773084971E-003 ;         25.0053 ;
 16 ;  3.0752677078492425E-004 ;;  5.1666365817628528E-004 ;;  3.5959693919719871E-003 ;         82.2655 ;
 24 ;  1.9273747907899081E-004 ;;  3.3007859999143547E-004 ;;  2.8540242761368149E-003 ;        209.8759 ;

 01 ;  1.4390856633642068E-003 ;;  2.4998177268176869E-003 ;;  1.6641953381447250E-002 ;          2.4386 ;
 02 ;  2.4688400718004980E-004 ;;  4.4082796030869799E-004 ;;  3.6171312670192357E-003 ;          6.4294 ;
 03 ;  9.5062455221657657E-005 ;;  1.7710236156795155E-004 ;;  1.8005343768076679E-003 ;          6.7085 ;
 04 ;  4.8087458630896900E-005 ;;  9.0244870958033042E-005 ;;  9.2372702126553019E-004 ;         10.8867 ;
 06 ;  1.8733831697985321E-005 ;;  3.5810936080640760E-005 ;;  4.8443299090294989E-004 ;         27.4162 ;
 08 ;  9.9389312830143791E-006 ;;  1.9157093522939474E-005 ;;  2.6767001793348566E-004 ;         56.7828 ;
 12 ;  4.2388233465109470E-006 ;;  8.2484138774772793E-006 ;;  1.2605007099102117E-004 ;        143.2859 ;
 16 ;  2.3662053050469904E-006 ;;  4.6057402844596583E-006 ;;  8.7829543939030308E-005 ;        309.5915 ;
 24 ;  1.0511545974884442E-006 ;;  2.0558603657900545E-006 ;;  5.2621582484292662E-005 ;       1085.9741 ;
