 TITLE = "Conforming"
 VARIABLES = "Grid", "L1 error", "L2 error", "Linf error", "CPU_time", "processes"
 ZONE T="P1", I=17, F=POINT
 002     2.1425234284546988E-002     4.0160420945609614E-002    0.17387235282256785               0.2817   28 
 003     1.5121444797496173E-002     2.6543478872418834E-002    0.15505898836151299               0.2798   28 
 004     1.8410938146034332E-002     3.5561141603080222E-002    0.17869955724131437               0.2581   28 
 005     1.6324547287512557E-002     3.4860750449678367E-002    0.17616968500600194               0.4983   28 
 006     1.2281404400089839E-002     2.6959123344738437E-002    0.17227412325415070               0.6549   28 
 008     1.1308944851221688E-002     2.6390969510581123E-002    0.16182957528564312               1.4068   28 
 010     8.7621345197273440E-003     2.1463542932883346E-002    0.17035155337696883               2.2362   28 
 012     7.1392623221919705E-003     1.7995830799320274E-002    0.15124624143001997               3.7089   28 
 016     4.9232760094349119E-003     1.2755993876722029E-002    0.12124549698638676               8.3069   28 
 020     3.6798294567048774E-003     9.7037938345749634E-003     9.1296393635746043E-002          15.4303   28 
 024     2.8395096620860987E-003     7.5137808534820215E-003     7.8487410601230323E-002          26.5056   28 
 032     1.8421211507922853E-003     4.8799062716407809E-003     5.1018110178570275E-002          63.0530   28 
 040    1.29577540386037601E-003    3.42138888514232752E-003    3.63942657468765418E-002         275.8189   16 
 048    9.63356922060580405E-004    2.53715119064282279E-003    2.79934784052677799E-002         524.5515   16 
 064     5.9524504511620992E-004     1.5700856012779972E-003     1.9357783248908689E-002         855.7767   32 
 080    4.07200503891923661E-004    1.08308861136471738E-003    1.63187177059507249E-002        4769.0682   12 
 096     2.9787744496799089E-004     8.0384973134468558E-004     1.4509913738761426E-002        1895.9652  128 
 ZONE T="P2", I=17, F=POINT
 002     1.8535413437409515E-002     3.5037946887080701E-002    0.18299131002686941               0.5996   28 
 003     1.2079189622241100E-002     2.6304788368825795E-002    0.27451652710660213               0.3972   28 
 004     1.1344644672246282E-002     2.5013317012073214E-002    0.18252436292217622               0.4997   28 
 005     8.1962204694510932E-003     1.8879276348021622E-002    0.20740648560436092               0.9384   28 
 006     6.2493460310475328E-003     1.5511856279204150E-002    0.21379082314199982               1.4122   28 
 008     3.8706993291496797E-003     1.0312469372978883E-002    0.14757857434268162               2.7932   28 
 010     2.4558382864057946E-003     6.7147689088381691E-003    0.10970218309932278               5.4054   28 
 012     1.7973698092628050E-003     5.1268107458949403E-003     8.4871608342911298E-002           9.3223   28 
 016     1.0457560668889582E-003     3.2911108358305353E-003     6.8137857552587278E-002          23.3934   28 
 020     6.6308631118782986E-004     2.1873433244150426E-003     4.4031917904868045E-002          45.6673   28 
 024     4.5318363927093243E-004     1.5705526703910808E-003     3.5403059539557802E-002          93.6042   28 
 032     2.3280012417766367E-004     8.4519977298676112E-004     1.9634267842131514E-002         292.5647   28 
 040    1.33177048574192089E-004    4.96759088998087158E-004    1.17556375561660431E-002        1607.7494   16 
 048    8.26121264178397393E-005    3.12600729163771851E-004    7.84318980980192038E-003        3806.8026   16 
 064     3.7741362592645074E-005     1.4530297238424692E-004     3.8561810666459806E-003        5420.1210   48 
 080    2.02581967678798437E-005    7.89152672234268843E-005    2.14482186791897789E-003       40800.0993   16 
 096     1.2105056780024654E-005     4.7525729644824381E-005     1.2996413000383455E-003       21897.3009  128 
 ZONE T="P3", I=15, F=POINT
 002     1.6351665982437414E-002     2.6644119152622114E-002    0.21551254029228906               1.0504   28 
 003     1.0123325320802191E-002     2.1497943923454794E-002    0.19157565374504371               0.6600   28 
 004     6.6593242903541039E-003     1.5857229698025721E-002    0.21185518596086217               0.8508   28 
 005     3.9787294046723177E-003     1.0197557607009798E-002    0.15974055993949676               1.3798   28 
 006     3.0483802806343797E-003     8.3317498800537012E-003    0.14553363168510769               2.5872   28 
 008     1.4308117868146648E-003     4.4708155322204330E-003    0.10268204032514827               6.0186   28 
 010     7.6461534924830699E-004     2.5471265302688811E-003     6.3466601371096054E-002          13.8060   28 
 012     4.7162881532455107E-004     1.6453866475186947E-003     4.1312530507811474E-002          22.8700   28 
 016     1.8995485820632083E-004     7.0161436743718184E-004     2.1933060450814779E-002          75.3231   28 
 020     9.1926286412805501E-005     3.5453573945869833E-004     9.9889491150797483E-003         193.6329   28 
 024     4.7982813695976283E-005     1.8865046167402836E-004     5.5810741625625937E-003         441.7661   28 
 032     1.6648750075151147E-005     6.9895131661216022E-005     2.2836553905944967E-003        1218.4330   28 
 040    6.95197098632810424E-006    3.08100783302109815E-005    1.09609919406405965E-003       10087.5830   16 
 048    3.34079278171392111E-006    1.53155553643900297E-005    6.21107550506039274E-004       24803.2745   16 
 064     1.0438896366226393E-006     5.0129753874335816E-006     2.3600122221445474E-004       17892.0449   96 
 ZONE T="P4", I=15, F=POINT
 002     1.1137717082449814E-002     2.1081070418436799E-002    0.26071007428808946               1.7728   28 
 003     6.3092499711418304E-003     1.4441129939573014E-002    0.24037406018238716               1.0652   28 
 004     3.6449045945588115E-003     9.4707922575194853E-003    0.12978681394911318               2.2847   28 
 005     2.1442321652825427E-003     6.1778873971210374E-003    0.11891485377335043               2.4183   28 
 006     1.3914470939552675E-003     4.2581959654572491E-003    0.11059951211624064               5.7888   28 
 008     5.2465316465056166E-004     1.7585633532005477E-003     5.0526462046704967E-002          15.1689   28 
 010     2.3697959822946072E-004     8.3718805375289568E-004     2.4919884498591394E-002          33.3025   28 
 012     1.1635016876666364E-004     4.2972087170779880E-004     1.3018751457621214E-002          58.7860   28 
 016     3.6972715016568791E-005     1.4902816040476914E-004     6.1246281077949050E-003         270.2466   28 
