      7.1313467302160458E-003 ;
      1.0417256755253580E-002 ;
     3.8239789275910319E-002 ;
            0.7198 ;
      7.1313467302160528E-003 ;
      1.0417256755253426E-002 ;
     3.8239789275904101E-002 ;
            0.6602 ;
      1.7688002242957025E-004 ;
      3.5164512728486872E-004 ;
     2.5282967584514537E-003 ;
            2.1558 ;
      1.7688002242896594E-004 ;
      3.5164512728364888E-004 ;
     2.5282967584439042E-003 ;
            2.2221 ;
      3.5076821192452990E-006 ;
      6.4216351833274891E-006 ;
     4.6737896638227028E-005 ;
            6.1600 ;
      3.5076821180293925E-006 ;
      6.4216351828753429E-006 ;
     4.6737896647996990E-005 ;
            6.2441 ;
      6.2254562833813698E-008 ;
      1.2681040656547427E-007 ;
     1.2842915468880278E-006 ;
           15.4408 ;
      6.2254564862467559E-008 ;
      1.2681040680942209E-007 ;
     1.2842915797506294E-006 ;
           15.4703 ;
      1.4368998862096883E-002 ;
      8.4012196078788584E-002 ;
     2.4021067206832063      ;
           22.6988 ;
      1.4368998862105471E-002 ;
      8.4012196078789056E-002 ;
     2.4021067206831814      ;
           22.8866 ;
      4.4396395116866436E-004 ;
      1.4087875631966272E-003 ;
     2.4064502231899709E-002 ;
            2.7991 ;
      4.4396395116849116E-004 ;
      1.4087875631964796E-003 ;
     2.4064502231889051E-002 ;
            2.8470 ;
      1.2402276137847962E-002 ;
      2.9884878295602477E-002 ;
    0.22921295076913095      ;
            3.5231 ;
      1.2402276137845156E-002 ;
      2.9884878295609568E-002 ;
    0.22921295076914427      ;
            3.5365 ;
      1.8734634696944803E-003 ;
      4.5653861385729789E-003 ;
     3.1317124187846268E-002 ;
            3.8327 ;
      1.8734634696919660E-003 ;
      4.5653861385700455E-003 ;
     3.1317124187820511E-002 ;
            3.9050 ;
      1.2690704101192503E-004 ;
      3.3766122513318071E-004 ;
     3.2498566067218349E-003 ;
            5.6048 ;
      1.2690704100958909E-004 ;
      3.3766122513219317E-004 ;
     3.2498566067307166E-003 ;
            5.6772 ;
      9.3415606572248825E-006 ;
      2.3205720077399264E-005 ;
     2.7896832447371622E-004 ;
           11.7304 ;
      9.3415606522668921E-006 ;
      2.3205720073914326E-005 ;
     2.7896832449236797E-004 ;
           12.5422 ;
      8.1876492184005723E-007 ;
      1.9438255826238764E-006 ;
     1.9297385201788586E-005 ;
           32.8945 ;
      8.1876491166389117E-007 ;
      1.9438255709491501E-006 ;
     1.9297385243532972E-005 ;
           30.9174 ;
      1.1933693803504185E-002 ;
      2.8303017570275615E-002 ;
    0.20264703354899005      ;
            1.4410 ;
      1.1933693802862457E-002 ;
      2.8303017570269543E-002 ;
    0.20264703352757873      ;
            1.4108 ;
      1.9651425565605017E-003 ;
      4.5207613257223517E-003 ;
     3.1751452575168315E-002 ;
            2.6711 ;
      1.9651616123618964E-003 ;
      4.5208152530669980E-003 ;
     3.1751591910321508E-002 ;
            2.6011 ;
      1.2641587685825503E-004 ;
      3.3700237950134244E-004 ;
     3.2455975774041690E-003 ;
            3.8705 ;
      1.2641586315160306E-004 ;
      3.3700237442646518E-004 ;
     3.2455978630530069E-003 ;
            3.4954 ;
      9.3228104402543332E-006 ;
      2.3162891379591354E-005 ;
     2.7885007846517595E-004 ;
            8.9014 ;
      9.3228104365201528E-006 ;
      2.3162891373452134E-005 ;
     2.7885007844030696E-004 ;
            7.6491 ;
      8.1825973584874503E-007 ;
      1.9424371385169964E-006 ;
     1.9294032675531980E-005 ;
           27.6322 ;
      8.1825972748568402E-007 ;
      1.9424371279636668E-006 ;
     1.9294032697736441E-005 ;
           25.8571 ;
      2.2584346994494315E-002 ;
      3.9303372172384526E-002 ;
    0.16466544050894871      ;
            6.4200 ;
      2.2584579028436941E-002 ;
      3.9303965140499143E-002 ;
    0.16467602103613821      ;
            6.3361 ;
      3.4571815166914389E-003 ;
      7.6258795312568288E-003 ;
     5.1721341548818245E-002 ;
           11.7118 ;
      3.4571914150367191E-003 ;
      7.6258864168926299E-003 ;
     5.1721227065464781E-002 ;
           11.5533 ;
      2.2584346994494308E-002 ;
      3.9303372172384519E-002 ;
    0.16466544050894871      ;
            3.9828 ;
      2.2584579028436927E-002 ;
      3.9303965140499136E-002 ;
    0.16467602103613821      ;
            4.1560 ;
      3.4571815166914372E-003 ;
      7.6258795312568297E-003 ;
     5.1721341548818245E-002 ;
            6.7206 ;
      3.4571914150367204E-003 ;
      7.6258864168926308E-003 ;
     5.1721227065464781E-002 ;
            6.7358 ;
      1.0470111501345854E-004 ;
      2.5851517298040280E-004 ;
     2.5902572244644873E-003 ;
            9.5083 ;
      1.0470111501338327E-004 ;
      2.5851517298167799E-004 ;
     2.5902572244094202E-003 ;
            8.3501 ;
      1.0687569386406438E-005 ;
      2.5941206339223232E-005 ;
     2.3280871015618487E-004 ;
           15.9925 ;
      1.0687569381789119E-005 ;
      2.5941206336127337E-005 ;
     2.3280871018371840E-004 ;
           14.3142 ;
      2.3903497976693798E-002 ;
      4.2546228715770920E-002 ;
    0.19335405557254415      ;
            7.8094 ;
      2.3903042185351896E-002 ;
      4.2545610735964051E-002 ;
    0.19336554597692679      ;
            7.9119 ;
      2.7005235518715611E-002 ;
      6.5842328803547040E-002 ;
    0.53542438245603652      ;
           14.5208 ;
      2.7003826128069511E-002 ;
      6.5841247684266052E-002 ;
    0.53543892136835947      ;
           14.8597 ;
      2.3903497976693788E-002 ;
      4.2546228715770913E-002 ;
    0.19335405557254415      ;
            4.6129 ;
      2.3903042185351889E-002 ;
      4.2545610735964023E-002 ;
    0.19336554597692679      ;
